province_state,country_region,date,confirmed,deaths,recovered,active,admin2
Hiroshima,Japan,2022-02-16,65706,327,,,
Hokkaido,Japan,2022-02-16,143675,1631,,,
Hyogo,Japan,2022-02-16,214473,1617,,,
Ibaraki,Japan,2022-02-16,57504,250,,,
Ishikawa,Japan,2022-02-16,19636,154,,,
Iwate,Japan,2022-02-16,7275,55,,,
Kagawa,Japan,2022-02-16,13861,57,,,
Kagoshima,Japan,2022-02-16,25771,99,,,
Kanagawa,Japan,2022-02-16,370453,1483,,,
Kochi,Japan,2022-02-16,9800,54,,,
Kumamoto,Japan,2022-02-16,41545,184,,,
Kyoto,Japan,2022-02-16,102878,345,,,
Mie,Japan,2022-02-16,33654,211,,,
Miyagi,Japan,2022-02-16,32343,126,,,
Miyazaki,Japan,2022-02-16,15934,70,,,
Nagano,Japan,2022-02-16,26318,127,,,
Nagasaki,Japan,2022-02-16,21966,95,,,
Nara,Japan,2022-02-16,43003,202,,,
Niigata,Japan,2022-02-16,24139,65,,,
Oita,Japan,2022-02-16,20042,90,,,
Okayama,Japan,2022-02-16,41224,171,,,
Okinawa,Japan,2022-02-16,92374,421,,,
Osaka,Japan,2022-02-16,537893,3455,,,
Port Quarantine,Japan,2022-02-16,4463,4,,,
Saga,Japan,2022-02-16,18970,48,,,
Saitama,Japan,2022-02-16,255160,1122,,,
Shiga,Japan,2022-02-16,37680,120,,,
Shimane,Japan,2022-02-16,5434,7,,,
Shizuoka,Japan,2022-02-16,72050,274,,,
Tochigi,Japan,2022-02-16,37081,152,,,
Tokushima,Japan,2022-02-16,7729,71,,,
Tokyo,Japan,2022-02-16,846120,3354,,,
Tottori,Japan,2022-02-16,5029,5,,,
Toyama,Japan,2022-02-16,12519,56,,,
Unknown,Japan,2022-02-16,8,0,,,
Wakayama,Japan,2022-02-16,18677,85,,,
Yamagata,Japan,2022-02-16,9315,59,,,
Yamaguchi,Japan,2022-02-16,17930,111,,,
Yamanashi,Japan,2022-02-16,13835,38,,,
Aichi,Japan,2021-05-26,45766,724,37847,7195,
Akita,Japan,2021-05-26,753,12,642,99,
Aomori,Japan,2021-05-26,2263,28,1908,327,
Chiba,Japan,2021-05-26,36579,672,34719,1188,
Ehime,Japan,2021-05-26,2691,71,2504,116,
Fukui,Japan,2021-05-26,1035,34,945,56,
Fukuoka,Japan,2021-05-26,33355,433,27408,5514,
Fukushima,Japan,2021-05-26,4509,135,4000,374,
Gifu,Japan,2021-05-26,8325,149,7386,790,
Gunma,Japan,2021-05-26,7705,134,6980,591,
Hiroshima,Japan,2021-05-26,10166,123,7708,2335,
Hokkaido,Japan,2021-05-26,35951,1038,26792,8121,
Hyogo,Japan,2021-05-26,39362,1133,34736,3493,
Ibaraki,Japan,2021-05-26,9553,144,8860,549,
Ishikawa,Japan,2021-05-26,3636,102,2941,593,
Iwate,Japan,2021-05-26,1380,43,1163,174,
Kagawa,Japan,2021-05-26,1970,24,1732,214,
Kagoshima,Japan,2021-05-26,3203,32,2798,373,
Kanagawa,Japan,2021-05-26,60462,874,57153,2435,
Kochi,Japan,2021-05-26,1340,20,1136,184,
Kumamoto,Japan,2021-05-26,6095,95,5077,923,
Kyoto,Japan,2021-05-26,15599,202,13980,1417,
Mie,Japan,2021-05-26,4775,103,4328,344,
Miyagi,Japan,2021-05-26,8822,82,8403,337,
Miyazaki,Japan,2021-05-26,2996,24,2696,276,
Nagano,Japan,2021-05-26,4698,75,4300,323,
Nagasaki,Japan,2021-05-26,2843,63,2547,233,
Nara,Japan,2021-05-26,7691,111,7158,422,
Niigata,Japan,2021-05-26,3124,35,2705,384,
Oita,Japan,2021-05-26,3269,40,2675,554,
Okayama,Japan,2021-05-26,7111,97,5045,1969,
Okinawa,Japan,2021-05-26,15801,149,13389,2263,
Osaka,Japan,2021-05-26,98601,2213,84208,12180,
Port Quarantine,Japan,2021-05-26,2936,3,2823,110,
Saga,Japan,2021-05-26,2463,19,2210,234,
Saitama,Japan,2021-05-26,43248,778,40275,2195,
Shiga,Japan,2021-05-26,4902,79,4346,477,
Shimane,Japan,2021-05-26,532,0,409,123,
Shizuoka,Japan,2021-05-26,8134,134,7149,851,
Tochigi,Japan,2021-05-26,6193,75,5734,384,
Tokushima,Japan,2021-05-26,1625,60,1461,104,
Tokyo,Japan,2021-05-26,158478,2015,150274,6189,
Tottori,Japan,2021-05-26,463,2,411,50,
Toyama,Japan,2021-05-26,1805,35,1450,320,
Unknown,Japan,2021-05-26,8,0,8,0,
Wakayama,Japan,2021-05-26,2586,39,2362,185,
Yamagata,Japan,2021-05-26,1928,41,1641,246,
